Topic,Property,More Resources/Practice,Parent item,Practice,Progress,Resources,Sub-item
Module 0 (not for marks) -- Sept 2-16 -- Java Fundamentals and Version Control,No,,,https://q.utoronto.ca/courses/394773/quizzes/475878 | https://github.com/christinecheng1229/FizzBuzz,New,"
• Clean Architecture book: Part 1 (pages 1–18)","00-introduction-to-git.md (00-introduction-to-git%20md%20281e7be659d980f3b6b1ef0abd8842ad.csv), 01-introduction-to-java.md (01-introduction-to-java%20md%2026be7be659d98006b6d5e70ed07e63ac.csv), L1: Software Lifecycle (L1%20Software%20Lifecycle%202c8e7be659d980e4bd66caba6a7494f6.csv), L1: University Example IntelliJ Demo (L1%20University%20Example%20IntelliJ%20Demo%202c8e7be659d980f7b679c8c217e3390e.csv), RAT, Java games 1 & 2 (RAT,%20Java%20games%201%20&%202%2026be7be659d9801cab5beef2841e4815.csv)"
Module 1 -- Sept 17-30 -- Java OOP,No,,,https://github.com/mafereyesb/LostInTranslation | https://github.com/christinecheng1229/NumberTriangle,New,"• Clean Architecture book: Part 2 (pages 19–56)

• https://javadoc.io/doc/org.json/json/latest/index.html","02-classes-in-java.md (02-classes-in-java%20md%20272e7be659d980e3ade5deb04c1f9a96.csv), 03-relationships-between-classes.md (03-relationships-between-classes%20md%20272e7be659d9805a99ccddf52d364d5e.csv), 04-GUIs-with-swing.md (04-GUIs-with-swing%20md%20272e7be659d980cba2f4d782f7f7e761.csv), RAT (RAT%20281e7be659d98064b3b1fac7f660de4d.csv), OOP Explorations Part 1 (OOP%20Explorations%20Part%201%20279e7be659d980e4a16fdd08c5c79755.csv), UML Diagrams (UML%20Diagrams%20280e7be659d9806c859bdfa1e70f091e.csv), 05-java-gotchas-and-subtleties.md (05-java-gotchas-and-subtleties%20md%202c8e7be659d9806cb48fcc13bad97af3.csv), 06-generics.md (06-generics%20md%202c8e7be659d9806ab9aff4144f036ba0.csv), 07-collections.md (07-collections%20md%202c8e7be659d9801c9b53ca9843e747e8.csv), 08-program-specification.md (08-program-specification%20md%202c8e7be659d980b2b57df5c1f23273ab.csv)"
Module 2 -- Oct 1-14 -- Design Principles,No,,,https://github.com/mafereyesb/lab-5 | https://github.com/christinecheng1229/m2-coding-dog-breed-fetcher,New,• Clean Architecture book: Part 3: Design Principles (pages 57–91),"09-design-principles.md (09-design-principles%20md%20280e7be659d980bea45bdf6850fc90fb.csv), OOP Explorations 2 (OOP%20Explorations%202%20280e7be659d98068a805c4ce2d68ecd9.csv), Exceptions (Exceptions%20287e7be659d980989c0fc65535a415d1.csv), Use Cases (Use%20Cases%20287e7be659d980e5a0f3d0b6d837908a.csv)"
Module 3 -- Oct 15-Nov 4 -- Clean Architecture,No,TestingCA.pdf,,https://github.com/mafereyesb/ca-lab,New,"Clean Architecture book: Part 5: Architecture (pages 133–273)
    ◦ The most relevant chapters are 15–16, 19–22, and 26 — if you don't wish to read this whole part of the book but still get the main ideas.

https://medium.com/slalom-build/clean-architecture-with-java-11-f78bba431041

https://www.plainionist.net/Clean-Architecture-And-Design/

https://www.newstore.com/articles/clean-architecture-code-hotspots/

https://javadevguy.wordpress.com/2017/07/27/a-detailed-analysis-of-the-clean-architecture-from-an-object-oriented-perspective/","10-introduction-to-layered-architectures.md (10-introduction-to-layered-architectures%20md%2028ee7be659d98046b7bec18644f67aa1.csv), 11-clean-architecture.md (11-clean-architecture%20md%2028ee7be659d980648427e3478ef92b7b.csv), RATs, Clean Architecture and Use Case Interactors Activities (RATs,%20Clean%20Architecture%20and%20Use%20Case%20Interactors%20%2028ee7be659d9800a89bbd1a0c5251378.csv), Building the CA Engine (Building%20the%20CA%20Engine%20295e7be659d9801f9cc0f74a0abf9064.csv), Unit Test for a Use Case Interactor (Unit%20Test%20for%20a%20Use%20Case%20Interactor%20295e7be659d980b68f06d15ca703bd5d.csv)"
Module 4 -- Nov 5-18 -- Design Patterns,No,PropertyChangeDocumentation.pdf,,,New,"• The Clean Architecture book talks about several patterns in passing, but this topic isn't the focus of the book:
    ◦ Chapter 11: DIP talks about the Abstract Factory pattern near the end.
    ◦ Chapter 23: Presenters and Humble Objects talks about the Humble Object pattern which you may find interesting as it relates to how the Clean Architecture is designed to be testable.
    ◦ Façades and the Strategy pattern are briefly discussed at the end of Chapter 24: Partial Boundaries.
• Head First Design Patterns is a highly recommended first book on design patterns.","12-design-patterns.md (12-design-patterns%20md%202a3e7be659d980b2ab83ecc1be490bbf.csv), Design Patterns 1 (Design%20Patterns%201%202a4e7be659d980d38e1dd434653e6bf9.csv), 13-refactoring-techniques.md (13-refactoring-techniques%20md%202a3e7be659d9806f81aef8f492bad33a.csv), Refactoring the Observer Anti-Pattern (Refactoring%20the%20Observer%20Anti-Pattern%202aae7be659d980738723ef9f15aa10f4.csv), Design Patterns 2 (Design%20Patterns%202%202cce7be659d980e3a636cbf901a4446a.csv), Identifying New Design Patterns (Identifying%20New%20Design%20Patterns%202abe7be659d98083874fdba0e7917882.csv)"
"Module 5 -- Nov 19-Dec 1 -- Ethics, Regex, and Presentations",No,"Material_and_Relational_Harms_(1).pdf, Medical_and_Social_Model_of_Disability_(1).pdf, screencapture-q-utoronto-ca-courses-394773-quizzes-487528-history-2025-12-17-16_38_26.pdf, M5_Principles_of_Universal_Design_Practice_Quiz.png, E3I-harms.pdf, E3I-disability.pdf, E3I-wrapup.pdf",,https://q.utoronto.ca/courses/394773/quizzes/487448,New,"https://youtu.be/pEHgzNif1_s?si=ShePVzyj1IxCxUt8

https://youtu.be/E15xKmgy95o?si=Y2V5xbRnnvq_giYP

https://youtu.be/xbQXtvM4K2o?si=gWt_9sh1ukpTJhEh - https://universaldesign.ie/about-universal-design/the-7-principles

https://universaldesign.ie/about-universal-design","RAT, Ethics Activities (RAT,%20Ethics%20Activities%202b1e7be659d980658044cc012731c869.csv), 14-regular-expressions.md (14-regular-expressions%20md%202b9e7be659d980e18388d1b9e62f21b6.csv), Regular Expressions (Regular%20Expressions%202b8e7be659d980c4957dcd5f45f02022.csv)"
01-introduction-to-java.md,No,screencapture-q-utoronto-ca-courses-394773-quizzes-460462-history-2025-12-13-16_36_07.pdf,Module 0 (not for marks) -- Sept 2-16 -- Java Fundamentals and Version Control (Module%200%20(not%20for%20marks)%20--%20Sept%202-16%20--%20Java%20Fund%2026be7be659d980a1ac65c67180e81c76.csv),https://q.utoronto.ca/courses/394773/quizzes/460462,New,"https://github.com/CSC207-UofT/207-course-notes/blob/master/01-introduction-to-java.md

https://docs.oracle.com/javase/tutorial/java/nutsandbolts/index.html",
"RAT, Java games 1 & 2",No,iRAT%201.pdf,Module 0 (not for marks) -- Sept 2-16 -- Java Fundamentals and Version Control (Module%200%20(not%20for%20marks)%20--%20Sept%202-16%20--%20Java%20Fund%2026be7be659d980a1ac65c67180e81c76.csv),https://q.utoronto.ca/courses/394773/quizzes/473946 | https://q.utoronto.ca/courses/394773/pages/m0-java-games-part-1-2 | https://q.utoronto.ca/courses/394773/pages/m0-java-games-part-2-2,New,,
02-classes-in-java.md,No,screencapture-q-utoronto-ca-courses-394773-quizzes-460464-history-2025-12-13-17_22_13.pdf,Module 1 -- Sept 17-30 -- Java OOP (Module%201%20--%20Sept%2017-30%20--%20Java%20OOP%2026be7be659d980358a36cfb6580c99bc.csv),,New,"https://github.com/CSC207-UofT/207-course-notes/blob/master/02-classes-in-java.md

https://github.com/CSC207-UofT/207-course-notes/blob/master/code/Monster.java

https://docs.oracle.com/javase/tutorial/java/javaOO/",
03-relationships-between-classes.md,No,screencapture-q-utoronto-ca-courses-394773-quizzes-460461-history-2025-12-13-17_22_56.pdf,Module 1 -- Sept 17-30 -- Java OOP (Module%201%20--%20Sept%2017-30%20--%20Java%20OOP%2026be7be659d980358a36cfb6580c99bc.csv),,New,"https://github.com/CSC207-UofT/207-course-notes/blob/master/03-relationships-between-classes.md

https://github.com/CSC207-UofT/207-course-notes/blob/master/code/gui/MainFrame.java

https://github.com/CSC207-UofT/207-course-notes/blob/master/code/gui/NestedPanelsExample.java

https://docs.oracle.com/javase/tutorial/java/IandI/",
